[15:21:49.586][ DEBUG]: Swapchain created with 2 images.                                                | Helix.cpp -> initSwapchain(): 421
[15:21:49.587][ DEBUG]: Allocated 2 command buffers.                                                    | RenderFrames.cpp -> create(): 72
[15:21:49.636][ DEBUG]: Rebuilding swapchain: 2 images, resetting all layouts to eUndefined             | Swapchain.cpp -> populateSwapchainImages(): 341
[15:21:49.637][ DEBUG]: Image[0] layout reset to: Undefined                                             | Swapchain.cpp -> populateSwapchainImages(): 371
[15:21:49.637][ DEBUG]: Image[1] layout reset to: Undefined                                             | Swapchain.cpp -> populateSwapchainImages(): 371
[15:21:49.638][ DEBUG]: Image index reset to 0 after rebuild - will be updated by next acquisition      | Swapchain.cpp -> populateSwapchainImages(): 377
[15:21:49.638][FOOTER]: <<<<<<<< Swapchain Init complete                                                | Helix.cpp -> init(): 193
[15:21:49.638][HEADER]: >>>>>>>> Creating RenderOrchestrator                                            | Helix.cpp -> init(): 196
[15:21:49.639][HEADER]: >>>>>>>> Creating PipelineManager                                               | RenderOrchestrator.cpp -> RenderOrchestrator(): 63
[15:21:49.640][ DEBUG]: Resource Descriptor Buffer created with size: 2097216 (requested: 2097152)      | DescriptorBufferManager.cpp -> initialize(): 47
[15:21:49.640][ DEBUG]: Sampler Descriptor Buffer created with size: 1048640 (requested: 1048576)       | DescriptorBufferManager.cpp -> initialize(): 68
[15:21:49.640][ DEBUG]: PipelineManager initialized with DescriptorBufferManager.                       | PipelineManager.cpp -> PipelineManager(): 16
[15:21:49.641][FOOTER]: <<<<<<<< PipelineManager Init complete                                          | RenderOrchestrator.cpp -> RenderOrchestrator(): 66
[15:21:49.641][ DEBUG]: RenderOrchestrator created (call initialize() after Services are ready)         | RenderOrchestrator.cpp -> RenderOrchestrator(): 88
[15:21:49.641][FOOTER]: <<<<<<<< RenderOrchestrator Init complete                                       | Helix.cpp -> init(): 199
[15:21:49.642][HEADER]: >>>>>>>> RenderOrchestrator Architecture Status                                 | RenderOrchestrator.cpp -> logArchitectureStatus(): 1805
[15:21:49.642][  INFO]: Multi-phase rendering system active                                             | RenderOrchestrator.cpp -> logArchitectureStatus(): 1806
[15:21:49.642][  INFO]: Enabled phases:                                                                 | RenderOrchestrator.cpp -> logArchitectureStatus(): 1807
[15:21:49.643][  INFO]:   Γ£ô Setup                                                                     | RenderOrchestrator.cpp -> logArchitectureStatus(): 1813
